Island Name,Group/Region,Area (sq km),Population,Administrative District,Main Settlement / Town,Protected Status,Tourism,Notable Features,Flood Events (per year),Temperature (°C),Rainfall (mm/year),Humidity (%),Other Notes,Latitude,Longitude
Pranahita River Islands,Telangana,12.0,6000,Adilabad,Adilabad,,Low,River islands forests,Occasional,20–35,1000,60–75,Pranahita river,19.0667,79.5167
Kinnerasani River Islands,Telangana,8.0,4000,Khammam,Khammam,,Low,River islands small settlements,Occasional,20–35,1000,60–75,Kinnerasani river,17.9000,80.8833
Gomati River Islands,Tripura,30.0,20000,West Tripura,Agartala,,Major,River islands temples,Occasional,20–35,2000,70–85,Gomati river system,23.5000,91.5000
Manu River Islands,Tripura,25.0,15000,Dhalai,Ambassa,,Moderate,River islands agriculture,Occasional,20–35,2000,70–85,Manu river system,24.0000,92.0000
Khowai River Islands,Tripura,20.0,12000,West Tripura,Agartala,,Moderate,River islands urban,Occasional,20–35,2000,70–85,Khowai river system,24.1000,91.6000
Haora River Islands,Tripura,15.0,8000,West Tripura,Agartala,,Moderate,River islands border area,Occasional,20–35,2000,70–85,Haora river,23.8000,91.3000
Feni River Islands,Tripura,10.0,5000,South Tripura,Udaipur,,Low,River islands tribal culture,Occasional,20–35,2000,70–85,Feni river,23.0000,91.3000
Deo River Islands,Tripura,8.0,3000,North Tripura,Dharmanagar,,Low,River islands small settlements,Occasional,20–35,2000,70–85,Deo river,24.1000,92.2000
Ganga River Islands,Uttar Pradesh,80.0,50000,Varanasi,Varanasi,,Major,River islands temples ghats,Occasional,15–35,1000,60–75,Ganga river system,25.3176,82.9739
Yamuna River Islands,Uttar Pradesh,60.0,40000,Agra,Agra,,Major,River islands Taj Mahal area,Occasional,15–35,1000,60–75,Yamuna river system,27.1767,78.0081
Gomti River Islands,Uttar Pradesh,40.0,25000,Lucknow,Lucknow,,Major,River islands Nawabi heritage,Occasional,15–35,1000,60–75,Gomti river system,26.8467,80.9462
Ghaghara River Islands,Uttar Pradesh,35.0,20000,Ayodhya,Ayodhya,,Major,River islands Ram temple,Occasional,15–35,1000,60–75,Ghaghara river system,26.7994,82.2041
Betwa River Islands,Uttar Pradesh,25.0,15000,Jhansi,Jhansi,,Moderate,River islands forts,Occasional,15–35,1000,60–75,Betwa river system,25.4484,78.5696
Ken River Islands,Uttar Pradesh,20.0,12000,Banda,Banda,,Moderate,River islands wildlife,Occasional,15–35,1000,60–75,Ken river system,25.4753,80.3358
Chambal River Islands,Uttar Pradesh,30.0,18000,Agra,Agra,,Moderate,River islands dacoit history,Occasional,15–35,1000,60–75,Chambal river system,26.3351,78.0617
Sone River Islands,Uttar Pradesh,15.0,8000,Allahabad,Allahabad,,Moderate,River islands confluence,Occasional,15–35,1000,60–75,Sone river system,25.3782,82.9805
Rapti River Islands,Uttar Pradesh,12.0,6000,Gorakhpur,Gorakhpur,,Low,River islands agriculture,Occasional,15–35,1000,60–75,Rapti river system,26.7606,83.3732
Gandak River Islands,Uttar Pradesh,10.0,5000,Kushinagar,Kushinagar,,Low,River islands Buddhist sites,Occasional,15–35,1000,60–75,Gandak river system,26.7397,83.8897
Ganga River Islands,Uttarakhand,45.0,25000,Haridwar,Haridwar,,Major,River islands pilgrimage,Occasional,10–30,1500,60–80,Ganga river system,29.9457,78.1642
Yamuna River Islands,Uttarakhand,35.0,20000,Dehradun,Dehradun,,Major,River islands Doon Valley,Occasional,10–30,1500,60–80,Yamuna river system,30.3256,78.0322
Alaknanda River Islands,Uttarakhand,25.0,15000,Chamoli,Chamoli,,Moderate,River islands Char Dham,Occasional,10–30,1500,60–80,Alaknanda river system,30.3826,79.4930
Bhagirathi River Islands,Uttarakhand,20.0,12000,Uttarkashi,Uttarkashi,,Moderate,River islands Gangotri,Occasional,10–30,1500,60–80,Bhagirathi river system,30.9943,78.9398
Mandakini River Islands,Uttarakhand,15.0,8000,Rudraprayag,Rudraprayag,,Moderate,River islands Kedarnath,Occasional,10–30,1500,60–80,Mandakini river system,30.7346,79.0669
Dhauliganga River Islands,Uttarakhand,12.0,6000,Pithoragarh,Pithoragarh,,Low,River islands high altitude,Occasional,10–30,1500,60–80,Dhauliganga river,30.0732,80.6042
Kali River Islands,Uttarakhand,10.0,4000,Pithoragarh,Pithoragarh,,Low,River islands border area,Occasional,10–30,1500,60–80,Kali river system,29.1461,80.5361
Ramganga River Islands,Uttarakhand,8.0,3000,Almora,Almora,,Low,River islands small settlements,Occasional,10–30,1500,60–80,Ramganga river,29.5952,79.6542
Kavaratti,Lakshadweep,4.22,11322,Lakshadweep,Kavaratti,,Major,Capital beaches coral reefs,Occasional,25–32,1600,70–80,Administrative capital,10.5672,72.6369
Agatti,Lakshadweep,3.84,7560,Lakshadweep,Agatti,,Major,Airport beaches diving,Occasional,25–32,1600,70–80,Only airport in Lakshadweep,10.8629,72.1995
Minicoy,Lakshadweep,4.8,10447,Lakshadweep,Minicoy,,Major,Lighthouse beaches culture,Occasional,25–32,1600,70–80,Southernmost Lakshadweep,8.2955,73.0489
Kadmat,Lakshadweep,3.12,5379,Lakshadweep,Kadmat,,Major,Beaches coral reefs,Occasional,25–32,1600,70–80,-,11.2195,72.7846
Amini,Lakshadweep,2.59,7340,Lakshadweep,Amini,,Moderate,Beaches traditional culture,Occasional,25–32,1600,70–80,-,11.1314,72.7331
Andrott,Lakshadweep,4.84,10720,Lakshadweep,Andrott,,Moderate,Beaches largest Lakshadweep,Occasional,25–32,1600,70–80,Largest inhabited island,10.8266,73.6786
Kalpeni,Lakshadweep,2.79,4419,Lakshadweep,Kalpeni,,Moderate,Beaches coral reefs,Occasional,25–32,1600,70–80,-,10.0726,73.6421
Kiltan,Lakshadweep,1.63,3944,Lakshadweep,Kiltan,,Moderate,Beaches traditional culture,Occasional,25–32,1600,70–80,-,11.4833,73.0083
Chetlat,Lakshadweep,1.14,2289,Lakshadweep,Chetlat,,Low,Beaches small island,Occasional,25–32,1600,70–80,-,11.6861,72.6958
Bitra,Lakshadweep,0.105,271,Lakshadweep,Bitra,,Low,Smallest inhabited island,Occasional,25–32,1600,70–80,Smallest inhabited,11.5997,72.1856
Bangaram,Lakshadweep,2.3,0,Lakshadweep,,,Major,Resort island diving,Occasional,25–32,1600,70–80,Uninhabited resort,10.9442,72.2872
Shingle Island,Tamil Nadu,0.5,0,Ramanathapuram,,Marine National Park,Limited,Coral reefs,Occasional,23–35,1200,60–75,Gulf of Mannar,9.2300,79.1400
Krusadai Island,Tamil Nadu,0.5,0,Ramanathapuram,,Marine National Park,Limited,Coral reefs,Occasional,23–35,1200,60–75,Gulf of Mannar,9.2500,79.1500
Pullivasal Island,Tamil Nadu,0.5,0,Ramanathapuram,,Marine National Park,Limited,Coral reefs,Occasional,23–35,1200,60–75,Gulf of Mannar,9.2500,79.1600
Poomarichan Island,Tamil Nadu,0.5,0,Ramanathapuram,,Marine National Park,Limited,Coral reefs,Occasional,23–35,1200,60–75,Gulf of Mannar,9.2500,79.1700
Manoli Island,Tamil Nadu,0.5,0,Ramanathapuram,,Marine National Park,Limited,Coral reefs,Occasional,23–35,1200,60–75,Gulf of Mannar,9.2500,79.1800
Manoliputti Island,Tamil Nadu,0.5,0,Ramanathapuram,,Marine National Park,Limited,Coral reefs,Occasional,23–35,1200,60–75,Gulf of Mannar,9.2500,79.1900
Hare Island,Tamil Nadu,0.5,0,Ramanathapuram,,Marine National Park,Limited,Coral reefs,Occasional,23–35,1200,60–75,Gulf of Mannar,9.2500,79.2000
Nallathanni Island,Tamil Nadu,0.5,0,Ramanathapuram,,Marine National Park,Limited,Coral reefs,Occasional,23–35,1200,60–75,Gulf of Mannar,9.2500,79.2100
Appa Island,Tamil Nadu,0.5,0,Ramanathapuram,,Marine National Park,Limited,Coral reefs,Occasional,23–35,1200,60–75,Gulf of Mannar,9.2500,79.2200
Poovarasanpatti Island,Tamil Nadu,0.5,0,Ramanathapuram,,Marine National Park,Limited,Coral reefs,Occasional,23–35,1200,60–75,Gulf of Mannar,9.2500,79.2300
Valai Island,Tamil Nadu,0.5,0,Ramanathapuram,,Marine National Park,Limited,Coral reefs,Occasional,23–35,1200,60–75,Gulf of Mannar,9.2500,79.2400
Mulli Island,Tamil Nadu,0.5,0,Ramanathapuram,,Marine National Park,Limited,Coral reefs,Occasional,23–35,1200,60–75,Gulf of Mannar,9.2500,79.2500
Musal Island,Tamil Nadu,0.5,0,Ramanathapuram,,Marine National Park,Limited,Coral reefs,Occasional,23–35,1200,60–75,Gulf of Mannar,9.2500,79.2600
Pudukudi Island,Tamil Nadu,0.5,0,Ramanathapuram,,Marine National Park,Limited,Coral reefs,Occasional,23–35,1200,60–75,Gulf of Mannar,9.2500,79.2700
Poomarichanpatti Island,Tamil Nadu,0.5,0,Ramanathapuram,,Marine National Park,Limited,Coral reefs,Occasional,23–35,1200,60–75,Gulf of Mannar,9.2500,79.2800
Anaipar Island,Tamil Nadu,0.5,0,Ramanathapuram,,Marine National Park,Limited,Coral reefs,Occasional,23–35,1200,60–75,Gulf of Mannar,9.2500,79.2900
Vilanguchalli Island,Tamil Nadu,0.5,0,Ramanathapuram,,Marine National Park,Limited,Coral reefs,Occasional,23–35,1200,60–75,Gulf of Mannar,9.2500,79.3000
Upputhanni Island,Tamil Nadu,0.5,0,Ramanathapuram,,Marine National Park,Limited,Coral reefs,Occasional,23–35,1200,60–75,Gulf of Mannar,9.2500,79.3100
Puluvinichalli Island,Tamil Nadu,0.5,0,Ramanathapuram,,Marine National Park,Limited,Coral reefs,Occasional,23–35,1200,60–75,Gulf of Mannar,9.2500,79.3200
Mulli Island (East),Tamil Nadu,0.5,0,Ramanathapuram,,Marine National Park,Limited,Coral reefs,Occasional,23–35,1200,60–75,Gulf of Mannar,9.2500,79.3300
Vallarpadam Island,Kerala,2.0,0,Ernakulam,,None,Major,Container transshipment terminal,Occasional,23–35,3000,70–85,Backwater island,10.0217,76.2653
Pizhala Island,Kerala,1.5,0,Ernakulam,,None,Moderate,Backwater village,Occasional,23–35,3000,70–85,Backwater island,10.0900,76.2700
Kadamakkudy Islands,Kerala,2.0,0,Ernakulam,,None,Moderate,Backwater cluster,Occasional,23–35,3000,70–85,Backwater cluster,10.0500,76.2700
Island Grounds,Tamil Nadu,1.0,0,Chennai,,None,Limited,Event ground,Occasional,23–35,1200,60–75,Urban island,13.0833,80.2833
Diviseema,Andhra Pradesh,50.0,0,Krishna,,None,Moderate,Godavari delta,Occasional,23–35,1000,60–75,Delta island,16.0167,81.0167
San Jacinto Island,Goa,0.5,0,South Goa,,None,Limited,Heritage,Occasional,23–35,3000,70–85,Heritage island,15.4250,73.8300
Vanxim Island,Goa,0.5,0,North Goa,,None,Limited,Backwater,Occasional,23–35,3000,70–85,Backwater island,15.5700,73.9000
Edulapuram Island,Telangana,1.0,0,Karimnagar,,None,Limited,Godavari river island,Occasional,20–35,1000,60–75,Riverine island,18.4333,79.1500
Jambudwip,West Bengal,10.0,0,South 24 Parganas,,None,Limited,Fishing,Occasional,20–35,1800,70–85,Sundarbans,21.5833,88.2333
Henry Island,West Bengal,8.0,0,South 24 Parganas,,None,Limited,Ecotourism,Occasional,20–35,1800,70–85,Sundarbans,21.6000,88.2667
Gosaba Island,West Bengal,20.0,0,South 24 Parganas,,None,Moderate,Inhabited,Occasional,20–35,1800,70–85,Sundarbans,22.1650,88.8000
Satjelia Island,West Bengal,15.0,0,South 24 Parganas,,None,Moderate,Inhabited,Occasional,20–35,1800,70–85,Sundarbans,22.1000,88.8000
Patharpratima Island,West Bengal,18.0,0,South 24 Parganas,,None,Moderate,Inhabited,Occasional,20–35,1800,70–85,Sundarbans,21.9000,88.4000
Maipith Island,West Bengal,12.0,0,South 24 Parganas,,None,Limited,Inhabited,Occasional,20–35,1800,70–85,Sundarbans,21.9000,88.3000
Basanti Island,West Bengal,14.0,0,South 24 Parganas,,None,Moderate,Inhabited,Occasional,20–35,1800,70–85,Sundarbans,22.1833,88.7333
Kumirmari Island,West Bengal,10.0,0,South 24 Parganas,,None,Limited,Inhabited,Occasional,20–35,1800,70–85,Sundarbans,22.1000,88.9000
Bali Island,West Bengal,9.0,0,South 24 Parganas,,None,Limited,Inhabited,Occasional,20–35,1800,70–85,Sundarbans,22.1000,88.7000
Dulki Island,West Bengal,7.0,0,South 24 Parganas,,None,Limited,Inhabited,Occasional,20–35,1800,70–85,Sundarbans,22.1000,88.8000
Lothian Island,West Bengal,6.0,0,South 24 Parganas,,None,Limited,Wildlife Sanctuary,Occasional,20–35,1800,70–85,Sundarbans,21.8167,88.3167
Bulchery Island,West Bengal,5.0,0,South 24 Parganas,,None,Limited,Inhabited,Occasional,20–35,1800,70–85,Sundarbans,21.9000,88.3000
Kalas Island,West Bengal,4.0,0,South 24 Parganas,,None,Limited,Inhabited,Occasional,20–35,1800,70–85,Sundarbans,21.9000,88.3000
Khanderi Island,Maharashtra,0.2,0,Raigad,,None,Limited,Historic fort island,Occasional,23–35,3000,70–85,Historic fort,18.7897,72.8672
Underi Island,Maharashtra,0.2,0,Raigad,,None,Limited,Historic fort island,Occasional,23–35,3000,70–85,Historic fort,18.7900,72.8700
Panju Island,Maharashtra,0.5,0,Thane,,None,Limited,Inhabited,Occasional,23–35,3000,70–85,Estuarine island,19.3000,72.8500
Dharamtar Island,Maharashtra,0.3,0,Raigad,,None,Limited,Port area,Occasional,23–35,3000,70–85,Port island,18.8000,72.9500
Gharapuri Island,Maharashtra,0.4,0,Mumbai,,None,Limited,Historic,Occasional,23–35,3000,70–85,Historic island,18.9630,72.9310
Basavaraj Durga,Karnataka,0.5,0,Honnavar,,None,Limited,Historic fort island,Occasional,20–35,3000,70–85,Historic fort,14.2833,74.4333
Anjediva Island,Karnataka,1.5,0,Uttara Kannada,,None,Limited,Naval base,Occasional,20–35,3000,70–85,Naval base,14.7167,74.1167
Puthuvype Island,Kerala,1.0,0,Ernakulam,,None,Limited,Coastal,Occasional,23–35,3000,70–85,Coastal island,10.0500,76.2500
