Island Name,Group/Region,Area (sq km),Population,Administrative District,Main Settlement / Town,Protected Status,Tourism,Notable Features,Flood Events (per year),Temperature (°C),Rainfall (mm/year),Humidity (%),Other Notes
Khowai River Islands,Tripura,20.0,12000,West Tripura,Agartala,,Moderate,River islands urban,Occasional,20–35,2000,70–85,Khowai river system
Haora River Islands,Tripura,15.0,8000,West Tripura,Agartala,,Moderate,River islands border area,Occasional,20–35,2000,70–85,Haora river
Feni River Islands,Tripura,10.0,5000,South Tripura,Udaipur,,Low,River islands tribal culture,Occasional,20–35,2000,70–85,Feni river
Deo River Islands,Tripura,8.0,3000,North Tripura,Dharmanagar,,Low,River islands small settlements,Occasional,20–35,2000,70–85,Deo river
Ganga River Islands,Uttar Pradesh,80.0,50000,Varanasi,Varanasi,,Major,River islands temples ghats,Occasional,15–35,1000,60–75,Ganga river system
Yamuna River Islands,Uttar Pradesh,60.0,40000,Agra,Agra,,Major,River islands Taj Mahal area,Occasional,15–35,1000,60–75,Yamuna river system
Gomti River Islands,Uttar Pradesh,40.0,25000,Lucknow,Lucknow,,Major,River islands Nawabi heritage,Occasional,15–35,1000,60–75,Gomti river system
Ghaghara River Islands,Uttar Pradesh,35.0,20000,Ayodhya,Ayodhya,,Major,River islands Ram temple,Occasional,15–35,1000,60–75,Ghaghara river system
Betwa River Islands,Uttar Pradesh,25.0,15000,Jhansi,Jhansi,,Moderate,River islands forts,Occasional,15–35,1000,60–75,Betwa river system
Ken River Islands,Uttar Pradesh,20.0,12000,Banda,Banda,,Moderate,River islands wildlife,Occasional,15–35,1000,60–75,Ken river system
Chambal River Islands,Uttar Pradesh,30.0,18000,Agra,Agra,,Moderate,River islands dacoit history,Occasional,15–35,1000,60–75,Chambal river system
Sone River Islands,Uttar Pradesh,15.0,8000,Allahabad,Allahabad,,Moderate,River islands confluence,Occasional,15–35,1000,60–75,Sone river system
Rapti River Islands,Uttar Pradesh,12.0,6000,Gorakhpur,Gorakhpur,,Low,River islands agriculture,Occasional,15–35,1000,60–75,Rapti river system
Gandak River Islands,Uttar Pradesh,10.0,5000,Kushinagar,Kushinagar,,Low,River islands Buddhist sites,Occasional,15–35,1000,60–75,Gandak river system
Ganga River Islands,Uttarakhand,45.0,25000,Haridwar,Haridwar,,Major,River islands pilgrimage,Occasional,10–30,1500,60–80,Ganga river system
Yamuna River Islands,Uttarakhand,35.0,20000,Dehradun,Dehradun,,Major,River islands Doon Valley,Occasional,10–30,1500,60–80,Yamuna river system
Alaknanda River Islands,Uttarakhand,25.0,15000,Chamoli,Chamoli,,Moderate,River islands Char Dham,Occasional,10–30,1500,60–80,Alaknanda river system
Bhagirathi River Islands,Uttarakhand,20.0,12000,Uttarkashi,Uttarkashi,,Moderate,River islands Gangotri,Occasional,10–30,1500,60–80,Bhagirathi river system
Mandakini River Islands,Uttarakhand,15.0,8000,Rudraprayag,Rudraprayag,,Moderate,River islands Kedarnath,Occasional,10–30,1500,60–80,Mandakini river system
Dhauliganga River Islands,Uttarakhand,12.0,6000,Pithoragarh,Pithoragarh,,Low,River islands high altitude,Occasional,10–30,1500,60–80,Dhauliganga river
Kali River Islands,Uttarakhand,10.0,4000,Pithoragarh,Pithoragarh,,Low,River islands border area,Occasional,10–30,1500,60–80,Kali river system
Ramganga River Islands,Uttarakhand,8.0,3000,Almora,Almora,,Low,River islands small settlements,Occasional,10–30,1500,60–80,Ramganga river 
